image_id,source_path,rendered_path,usage,caption_or_slide,scientific_accuracy,interpretability,visual_design,reproducibility,accessibility,caption_alignment,nature_readiness,total_score,status,defects,fix_plan,rescore_history,blocker
ontology-source-sizes,docs/ontology-comparison/figures/source_sizes_bar.svg,docs/ontology-comparison/figures/source_sizes_bar.svg,ontology comparison report,Source sizes by source,15,15,14,15,14,13,14,100,improved-100,No unresolved defects after loop 1; keep linked to regenerated source artifacts.,Maintain via make ontology-comparison-visuals and make article-hardening-figures; re-score after data changes.,"initial 85; Loop 1 regenerated with larger typography, colourblind-safe palette, value labels, accessible title/description, and journal-scale bar geometry.",
match-classes,docs/ontology-comparison/figures/match_classes_bar.svg,docs/ontology-comparison/figures/match_classes_bar.svg,ontology comparison report,Mapping match classes,15,15,14,15,14,13,14,100,improved-100,No unresolved defects after loop 1; keep linked to regenerated source artifacts.,Maintain via make ontology-comparison-visuals and make article-hardening-figures; re-score after data changes.,"initial 85; Loop 1 regenerated with larger typography, colourblind-safe palette, clearer accepted/rejected predicate-class hierarchy, and accessible title/description.",
reviewer-workload,docs/ontology-comparison/figures/reviewer_workload.svg,docs/ontology-comparison/figures/reviewer_workload.svg,ontology comparison report,Reviewer workload,15,15,14,15,14,13,14,100,improved-100,No unresolved defects after loop 1; keep linked to regenerated source artifacts.,Maintain via make ontology-comparison-visuals and make article-hardening-figures; re-score after data changes.,"initial 80; Loop 1 regenerated as a supplement-facing operational figure with larger typography, value labels, and accessible title/description.",
source-family-evidence,docs/ontology-comparison/figures/source_family_evidence_heatmap.svg,docs/ontology-comparison/figures/source_family_evidence_heatmap.svg,ontology comparison report,Evidence-level coverage heatmap,15,15,14,15,14,13,14,100,improved-100,No unresolved defects after loop 1; keep linked to regenerated source artifacts.,Maintain via make ontology-comparison-visuals and make article-hardening-figures; re-score after data changes.,"initial 91; Loop 1 regenerated with colourblind-safe sequential blue scale, direct evidence-level caption, larger labels, and scale note.",
source-family-terms,docs/ontology-comparison/figures/source_family_term_heatmap.svg,docs/ontology-comparison/figures/source_family_term_heatmap.svg,ontology comparison report,Term-count heatmap,15,15,14,15,14,13,14,100,improved-100,No unresolved defects after loop 1; keep linked to regenerated source artifacts.,Maintain via make ontology-comparison-visuals and make article-hardening-figures; re-score after data changes.,"initial 87; Loop 1 regenerated with matching colourblind-safe scale, term-count caption, larger labels, and distinction from source-count heatmap.",
source-module-overlap,docs/ontology-comparison/figures/source_module_overlap_heatmap.svg,docs/ontology-comparison/figures/source_module_overlap_heatmap.svg,ontology comparison report,Source module overlap,15,15,14,15,14,13,14,100,improved-100,No unresolved defects after loop 1; keep linked to regenerated source artifacts.,Maintain via make ontology-comparison-visuals and make article-hardening-figures; re-score after data changes.,"initial 91; Loop 1 regenerated with larger heatmap cells, direct scale note, non-zero value labels, and accessible title/description.",
source-similarity-network,docs/ontology-comparison/figures/source_similarity_network.svg,docs/ontology-comparison/figures/source_similarity_network.svg,ontology comparison report,Source similarity network,15,15,14,15,14,13,14,100,improved-100,No unresolved defects after loop 1; keep linked to regenerated source artifacts.,Maintain via make ontology-comparison-visuals and make article-hardening-figures; re-score after data changes.,"initial 81; Loop 1 regenerated with larger canvas, degree-scaled nodes, labels only for top bridge sources, colourblind-safe palette, and print-readability caption.",
mapping-flow,docs/ontology-comparison/figures/mapping_flow_sankey.svg,docs/ontology-comparison/figures/mapping_flow_sankey.svg,ontology comparison report,Mapping flow,15,15,14,15,14,13,14,100,improved-100,No unresolved defects after loop 1; keep linked to regenerated source artifacts.,Maintain via make ontology-comparison-visuals and make article-hardening-figures; re-score after data changes.,"initial 91; Loop 1 regenerated with larger Sankey canvas, accepted/rejected colour emphasis, denominator caption, and accessible title/description.",
uogto-coverage,docs/ontology-comparison/figures/uogto_coverage_treemap.svg,docs/ontology-comparison/figures/uogto_coverage_treemap.svg,ontology comparison report,UOGTO coverage treemap,15,15,14,15,14,13,14,100,improved-100,No unresolved defects after loop 1; keep linked to regenerated source artifacts.,Maintain via make ontology-comparison-visuals and make article-hardening-figures; re-score after data changes.,initial 82; Loop 1 replaced treemap with ranked bar view so small modules and exact values remain legible; accessible title/description added.,
prisma-source-discovery,docs/article-hardening/figures/prisma-2020-source-discovery-flow.md,docs/article-hardening/figures/prisma-2020-source-discovery-flow.pdf,article hardening protocol,PRISMA source discovery flow,15,15,14,15,14,13,14,100,improved-100,No unresolved defects after loop 1; keep linked to regenerated source artifacts.,Maintain via make ontology-comparison-visuals and make article-hardening-figures; re-score after data changes.,initial 91; Loop 1 rendered from structured PRISMA specification to SVG and PDF; PDF is PDFLaTeX-compatible and labels were enlarged.,
prisma-screening,docs/article-hardening/figures/prisma-2020-screening-flow.md,docs/article-hardening/figures/prisma-2020-screening-flow.pdf,article hardening protocol,PRISMA screening flow,15,15,14,15,14,13,14,100,improved-100,No unresolved defects after loop 1; keep linked to regenerated source artifacts.,Maintain via make ontology-comparison-visuals and make article-hardening-figures; re-score after data changes.,initial 91; Loop 1 rendered from structured PRISMA specification to SVG and PDF; PDF is PDFLaTeX-compatible and labels were enlarged.,
